,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8
1987-07-01,29.404846,27.015076,33.00995,27.62915,26.412262,28.827606,29.558868,29.939087
1987-08-01,29.045105,27.635284,34.336334,27.968445,26.428131,27.789337,28.963226,33.17218
1987-09-01,29.052765,24.343872,33.186493,28.200256,26.83905,27.572357,29.251343,30.967133
1987-10-01,29.002625,20.46756,31.53415,28.86139,28.239136,28.312317,30.016357,28.696106
1987-11-01,28.931,16.851715,28.679718,29.174072,28.198212,27.620453,28.763641,24.257904
1987-12-01,28.579956,13.991669,24.773224,28.567139,27.004333,25.310028,27.611237,20.464478
1988-01-01,28.304962,11.142853,22.24533,28.084412,26.823822,24.99466,26.955353,17.337524
1988-02-01,29.024292,9.024841,21.465302,28.073792,26.965454,24.935455,27.153137,16.538788
1988-03-01,29.850342,10.248993,22.305542,28.925629,27.894196,25.345703,28.064178,18.986115
1988-04-01,30.287903,14.034821,25.099365,29.786621,29.54834,27.196136,29.607025,22.015167
1988-05-01,29.360168,18.369995,28.584686,30.047638,29.67685,28.691437,29.654083,26.175812
1988-06-01,29.189697,25.616333,30.742157,28.910461,27.967041,29.09967,29.702118,28.64743
1988-07-01,28.879608,28.128937,32.50305,27.960968,26.508667,28.995972,29.463867,31.289001
1988-08-01,29.082458,27.583618,34.22397,27.13797,25.71347,28.0318,29.454254,33.754517
1988-09-01,28.707611,25.011353,33.088318,27.398987,25.9664,28.823975,29.608032,31.94104
1988-10-01,28.279663,22.075378,31.345154,27.929108,27.304901,28.349976,29.462341,29.411774
