,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5,mgv500_cluster6,mgv500_cluster7,mgv500_cluster8
1981-10-01,0.85605747,0.03381958,-0.16092472,-0.032833196,0.1748753,-0.108081676,0.11371823,0.08539438
1981-11-01,0.7103516,0.12710515,-0.16388392,0.0773622,-0.014232397,0.16825227,-0.1388011,0.7817954
1981-12-01,0.66215867,0.053406715,-0.20404467,0.042556286,-0.045233678,-0.19432148,0.18854399,0.9716075
1982-01-01,0.92344034,-0.073050305,-0.26598805,-0.00226202,0.25467795,-0.30989805,0.085690975,0.82404405
1982-02-01,1.553482,0.13532257,-0.19293785,-0.25214973,0.12081902,-0.011576271,-0.116561055,0.6160704
1982-03-01,1.0143206,0.11789165,-0.11948838,0.0333982,0.36298925,0.17870033,-0.43058395,0.8271044
1982-04-01,0.9089367,-0.08489265,0.07730818,-0.16778937,0.053889513,-0.2820884,0.25068608,0.45413572
1982-05-01,0.558056,-0.2918018,-0.07331638,-0.023684788,0.3551387,0.03672471,-0.083162785,0.6908504
1982-06-01,0.6100827,0.17550687,-0.16020489,0.19307086,0.19320393,-0.18828087,-0.4949852,0.6627746
1982-07-01,0.35607007,0.07344942,0.119887546,0.08728774,-0.011576271,-0.31655115,-0.073981665,-0.11296842
1982-08-01,0.15262046,0.27104434,0.13000016,0.11177087,0.10099296,-0.46105495,-0.49139267,0.31588578
1982-09-01,0.49977547,0.22992864,-0.16645877,0.11616187,-0.0927432,-0.133992,-0.26119787,0.34728804
1982-10-01,0.10179134,0.13133077,-0.14117727,-0.023817873,-0.027942706,0.19812718,-0.49644893,0.91998065
1982-11-01,1.0730003,-0.07185273,-0.0741147,-0.015834212,0.24709347,0.07877183,-0.80900824,0.62817895
1982-12-01,1.5731751,-0.31016415,-0.2115663,0.12574224,0.029672503,0.09979544,-0.014503598,0.19107494
1983-01-01,1.4016129,-0.008584833,-0.096713826,-0.13266294,-0.16968517,0.28786126,-0.45714387,1.3089231
1983-02-01,1.014221,-0.034473587,-0.39718398,0.07981239,0.2171702,-0.16619757,-0.032327365,0.6406454
1983-03-01,1.4486954,-0.3246151,-0.059825707,-0.14245506,-0.1024818,0.26599658,-0.31898126,0.82334197
1983-04-01,0.8295123,-0.04024154,-0.24413204,-0.0075117587,-0.2465465,0.16190514,-0.25687513,0.4924224
1983-05-01,0.54795563,-0.06344751,-0.017706275,0.091080025,-0.03822946,0.3353462,-0.24426612,0.608318
1983-06-01,0.5267618,0.22092605,-0.080348946,0.13574813,0.29644603,-0.10851803,-0.25003415,0.98511285
1983-07-01,0.35989353,0.06613026,0.057411276,0.20482945,-0.09510417,-0.08209276,-0.30087262,0.22186509
1983-08-01,0.054326076,0.37290496,0.12528536,0.25714344,0.13427266,-0.37062463,0.28195906,0.12206595
1983-09-01,0.06130128,0.11133494,-0.040643953,0.11589565,0.19503732,-0.15653953,-0.45432702,0.3501014
1983-10-01,0.6961786,0.45835114,-0.22790125,0.18564765,0.06371577,0.12689498,-0.17303863,0.8759242
1983-11-01,0.48102054,-0.008182431,-0.0885314,0.13145569,0.11629806,0.09671384,-0.25459486,1.0450728
1983-12-01,0.64802295,0.021730434,-0.24413204,-0.02803494,0.02012081,0.00509727,0.14071126,0.55291873
