,zgv200_cluster1,zgv200_cluster2,zgv200_cluster3,zgv200_cluster4,zgv200_cluster5,zgv200_cluster6,zgv200_cluster7,zgv200_cluster8,zgv200_cluster9,zgv200_cluster10,zgv200_cluster11
1978-02-01,-0.16989419,0.048607636,0.2035009,0.4986353,0.21059433,-0.002558279,0.20152406,-0.5967809,-1.0629724,0.023838663,0.07221375
1978-03-01,-0.045119096,-0.061515428,0.32536888,-0.38769823,-0.49793762,0.7172535,-0.1183794,-1.1627461,0.79493254,0.54910356,0.45793515
1978-04-01,0.47735494,0.018722087,0.35409147,-0.2816452,0.69492656,0.2769937,-0.18198796,0.54584754,-0.8927294,0.3038559,-0.047677327
1978-05-01,0.11512337,-0.006163168,0.11465826,0.5938738,0.5165435,-0.17221995,0.24315448,0.41956073,-0.48584384,-0.14163664,-0.19850054
1978-06-01,0.19222116,-0.22047868,-0.00034885405,0.3081585,0.40165263,-0.5306141,0.7912115,0.58724535,-0.34885865,-0.7344638,-0.10163422
1978-07-01,0.48491353,0.042211913,-0.900288,0.20512891,0.04453764,-0.23199101,-0.47921553,0.3288576,-0.07744656,0.23199101,0.55282474
1978-08-01,-0.003604889,0.11535587,-0.4589818,0.26490003,0.092563845,-0.057677984,-0.021629239,-0.10535534,0.036862753,0.49491414,0.32211286
1978-09-01,-0.0029071332,0.04453764,-0.4702615,0.45270228,-0.8652859,0.25315508,-0.35490552,-0.23489818,0.23396797,0.4621215,0.19803548
1978-10-01,0.10896015,-0.02209444,-0.97947884,0.2508294,0.18233684,0.14186922,0.33292747,0.23396793,-0.485495,0.14210176,-0.056631327
1978-11-01,0.10175042,-0.107099675,-1.684406,-0.1945469,0.14303203,-0.46200523,-0.1587307,0.21164092,0.068725154,-0.31757775,-0.09768047
